park_name,lat,long
Graham Street Park,51.52916347,-0.109970527
Myddelton Square,51.52916347,-0.109970527
Joseph Grimaldi Park,51.52916347,-0.109970527
Barnard Park,51.52916347,-0.109970527
Spa Fields,51.52916347,-0.109970527
Islington Green,51.52916347,-0.109970527
King Square Gardens,51.52916347,-0.109970527
Coram's Fields,51.52916347,-0.109970527
Percy Circus,51.52916347,-0.109970527
St James C of E Church,51.52916347,-0.109970527
Holland Park,51.49960695,-0.197574246
Holland Park Gate,51.49960695,-0.197574246
Nevern Square,51.49960695,-0.197574246
Opera Holland Park,51.49960695,-0.197574246
Pembroke Square,51.49960695,-0.197574246
Edwardes Square,51.49960695,-0.197574246
Airlie Gardens,51.49960695,-0.197574246
Campden Hill Square,51.49960695,-0.197574246
Holland Park Toddler Playground,51.49960695,-0.197574246
Holland Park,51.49960695,-0.197574246
Mint Street Park,51.50597426,-0.092754157
Tabard Gardens,51.50597426,-0.092754157
Guy Street Park,51.50597426,-0.092754157
St Paul's Churchyard,51.50597426,-0.092754157
Tate Modern Gardens,51.50597426,-0.092754157
Hidden Park,51.50597426,-0.092754157
City Hall Park,51.50597426,-0.092754157
White's Grounds Skate Park,51.50597426,-0.092754157
Leathermarket Gardens,51.50597426,-0.092754157
Bankside Open Spaces Trust,51.50597426,-0.092754157
Brunswick Square Gardens,51.52395143,-0.122502346
Coram's Fields,51.52395143,-0.122502346
Lincoln's Inn Fields,51.52395143,-0.122502346
Tavistock Square,51.52395143,-0.122502346
Gordon Square,51.52395143,-0.122502346
Spa Fields,51.52395143,-0.122502346
Joseph Grimaldi Park,51.52395143,-0.122502346
Gray's Inn Gardens,51.52395143,-0.122502346
The Queen Square Park and Garden,51.52395143,-0.122502346
Percy Circus,51.52395143,-0.122502346
Gordon Square,51.52168078,-0.130431727
Soho Square,51.52168078,-0.130431727
Tavistock Square,51.52168078,-0.130431727
Brunswick Square Gardens,51.52168078,-0.130431727
Coram's Fields,51.52168078,-0.130431727
Torrington Square,51.52168078,-0.130431727
Malet Street Gardens,51.52168078,-0.130431727
Woburn Square,51.52168078,-0.130431727
The Phoenix Garden,51.52168078,-0.130431727
Alfred Place Gardens,51.52168078,-0.130431727
Tavistock Square,51.52635795,-0.125979294
Gordon Square,51.52635795,-0.125979294
Brunswick Square Gardens,51.52635795,-0.125979294
Coram's Fields,51.52635795,-0.125979294
Kings Cross Dog Park,51.52635795,-0.125979294
Joseph Grimaldi Park,51.52635795,-0.125979294
Bramber Green,51.52635795,-0.125979294
Judd Street Open Space,51.52635795,-0.125979294
Percy Circus,51.52635795,-0.125979294
Argyle Square Gardens,51.52635795,-0.125979294
Southbank Skate Park,51.51477076,-0.12221963
Lincoln's Inn Fields,51.51477076,-0.12221963
Soho Square,51.51477076,-0.12221963
Temple Gardens,51.51477076,-0.12221963
Coram's Fields,51.51477076,-0.12221963
Victoria Embankment Gardens,51.51477076,-0.12221963
Gray's Inn Gardens,51.51477076,-0.12221963
The Phoenix Garden,51.51477076,-0.12221963
St Giles-In-The-Fields Churchyard,51.51477076,-0.12221963
Dodge,51.51477076,-0.12221963
Gordon Square,51.52505093,-0.131161087
Tavistock Square,51.52505093,-0.131161087
Brunswick Square Gardens,51.52505093,-0.131161087
Coram's Fields,51.52505093,-0.131161087
Kings Cross Dog Park,51.52505093,-0.131161087
Woburn Square,51.52505093,-0.131161087
Euston Square Gardens,51.52505093,-0.131161087
Torrington Square,51.52505093,-0.131161087
Whitfield Gardens,51.52505093,-0.131161087
Bramber Green,51.52505093,-0.131161087
Park Square Gardens,51.527326,-0.13605286
Gordon Square,51.527326,-0.13605286
Tavistock Square,51.527326,-0.13605286
St Pancras Gardens,51.527326,-0.13605286
Kings Cross Dog Park,51.527326,-0.13605286
Marylebone Green Playground,51.527326,-0.13605286
English Gardens,51.527326,-0.13605286
Harrington Square,51.527326,-0.13605286
St James' Gardens,51.527326,-0.13605286
Regents Park,51.527326,-0.13605286
Joseph Grimaldi Park,51.52728093,-0.11829517
Myddelton Square,51.52728093,-0.11829517
Coram's Fields,51.52728093,-0.11829517
Brunswick Square Gardens,51.52728093,-0.11829517
Tavistock Square,51.52728093,-0.11829517
Gordon Square,51.52728093,-0.11829517
Spa Fields,51.52728093,-0.11829517
Kings Cross Dog Park,51.52728093,-0.11829517
Gray's Inn Gardens,51.52728093,-0.11829517
Percy Circus,51.52728093,-0.11829517
Q-Park Cramer Street,51.52351808,-0.143613641
Park Square Gardens,51.52351808,-0.143613641
Marylebone Green Playground,51.52351808,-0.143613641
St Marylebone Parish Church Gardens,51.52351808,-0.143613641
Gordon Square,51.52351808,-0.143613641
English Gardens,51.52351808,-0.143613641
Regent's Park Open Air Theatre,51.52351808,-0.143613641
The Regent's Bar & Kitchen,51.52351808,-0.143613641
Fitzroy Square Garden,51.52351808,-0.143613641
St Andrew's Gate,51.52351808,-0.143613641
Shoreditch Park,51.52915444,-0.093421615
Graham Street Park,51.52915444,-0.093421615
Shepherdess Walk Park,51.52915444,-0.093421615
Fortune Street Park,51.52915444,-0.093421615
Toffee Park,51.52915444,-0.093421615
King Square Gardens,51.52915444,-0.093421615
Hoxton Square,51.52915444,-0.093421615
Arlington Square,51.52915444,-0.093421615
St. Luke's Church Gardens,51.52915444,-0.093421615
Sequin Park,51.52915444,-0.093421615
Kensington Gardens,51.50173726,-0.184980612
Princes Gardens,51.50173726,-0.184980612
Hyde Park Pavillion and Grounds,51.50173726,-0.184980612
Astor Hyde Park Hostel,51.50173726,-0.184980612
Secret Garden,51.50173726,-0.184980612
Diana Memorial Playground,51.50173726,-0.184980612
Baglioni Hotel London,51.50173726,-0.184980612
Kensington Gardens,51.50173726,-0.184980612
Russell Park,51.50173726,-0.184980612
Royal Garden Hotel,51.50173726,-0.184980612
Haggerston Park,51.5263778,-0.078130921
Ravenscroft Park,51.5263778,-0.078130921
Brick Lane Park,51.5263778,-0.078130921
Arnold Circus,51.5263778,-0.078130921
