Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
Hess at king,43.259125842121065,-79.87721174955368,,,,,,,9.0
Bayfront Park,43.26928827622911,-79.87132698297499,,,,,,,25.0
Bay at Strachan,43.26785864558976,-79.8679232597351,,,,,,,18.0
Bay at Mulberry,43.26319844157448,-79.87180307507515,,,,,,,10.0
City Hall,43.2561324863605,-79.8744987564414,,,,,,,15.0
Bay at Bold,43.2538302267771,-79.8753935613187,,,,,,,0.0
James S at Charlton,43.2496354495324,-79.8720555723035,,,,,,,4.0
Oxford at York,43.26456372689135,-79.8777937889099,,,,,,,4.0
Queen at Peter,43.2618861338306,-79.877606006297,,,,,,,3.0
West at Cannon,43.257877862291,-79.8561337635964,,,,,,,3.0
Forsyth at Sterling,43.26271404114188,-79.91580605506897,,,,,,,35.0
Gage at Cannon - ERI11,43.25112644429895,-79.82740849256516,,,,,,,7.0
H.A.A.A. Park,43.2540651616154,-79.8819466027797,,,,,,,4.0
Hunter at Hess,43.255383107655966,-79.87889617681503,,,,,,,7.0
Dunsmure at Sherman - ERI10,43.24943274108067,-79.8388883471489,,,,,,,6.0
King at Dunsmure - ERI09,43.24634382646498,-79.82685998082161,,,,,,,3.0
Locke at Napier,43.2628018805713,-79.8827367298478,,,,,,,6.0
York at Inchbury,43.2659146108256,-79.8819495909127,,,,,,,4.0
Aberdeen at Queen,43.2488085584277,-79.8836993988543,,,,,,,3.0
King at Dundurn,43.26240933566922,-79.88798081874847,,,,,,,0.0
Main at Dundurn,43.25966301112219,-79.8892092704773,,,,,,,1.0
Dundurn St S,43.2548127612063,-79.8909067737901,,,,,,,10.0
McMaster Mary Keyes,43.26246012002058,-79.92224670946598,,,,,,,11.0
McMaster Health Sciences,43.26053126154136,-79.91824820637703,,,,,,,30.0
McMaster Arthur Bourns,43.2599690032886,-79.922358671032,,,,,,,14.0
McMaster Emerson,43.258038792898375,-79.91978779435158,,,,,,,19.0
Longwood at Edgevale,43.2662112220324,-79.8993094512,,,,,,,0.0
Longwood at King,43.2630174571678,-79.9009418422827,,,,,,,0.0
Chedoke Stairs,43.2460802627748,-79.90823779724,,,,,,,3.0
McMaster Innovation Park,43.25656885270854,-79.9011692404747,,,,,,,15.0
Macklin at King,43.2621672804245,-79.8964982026467,,,,,,,5.0
Dundurn at Aberdeen,43.251458458949,-79.89265590906143,,,,,,,18.0
Dundurn Stairs,43.2465214141618,-79.8947787566411,,,,,,,0.0
Cootes Drive Dundas,43.26547419149645,-79.94765996932983,,,,,,,0.0
Princess Point,43.2729912871819,-79.8945270389426,,,,,,,11.0
Pearl Street Bridge,43.25650634283747,-79.88345324993132,,,,,,,8.0
