Station Name,Latitude,Longitude,Name,Categories,Distance,Address,City,Rating,Empty slots
Hess at king,43.259125842121065,-79.87721175,,,,,,,9
Bayfront Park,43.26928827622911,-79.87132698,,,,,,,25
Bay at Strachan,43.26785864558976,-79.86792326,,,,,,,18
Bay at Mulberry,43.26319844157448,-79.87180308,,,,,,,10
City Hall,43.25613249,-79.87449876,,,,,,,15
Bay at Bold,43.25383023,-79.87539356,,,,,,,0
James S at Charlton,43.24963545,-79.87205557,,,,,,,4
Oxford at York,43.26456372689135,-79.87779379,,,,,,,4
Queen at Peter,43.26188613,-79.87760601,,,,,,,3
West at Cannon,43.25787786,-79.85613376,,,,,,,3
Forsyth at Sterling,43.26271404114188,-79.91580606,,,,,,,35
Gage at Cannon - ERI11,43.25112644429895,-79.82740849,,,,,,,7
H.A.A.A. Park,43.25406516,-79.8819466,,,,,,,4
Hunter at Hess,43.255383107655966,-79.87889618,,,,,,,7
Dunsmure at Sherman - ERI10,43.24943274108067,-79.83888835,,,,,,,6
King at Dunsmure - ERI09,43.24634382646498,-79.82685998,,,,,,,3
Locke at Napier,43.26280188,-79.88273673,,,,,,,6
York at Inchbury,43.26591461,-79.88194959,,,,,,,4
Aberdeen at Queen,43.24880856,-79.8836994,,,,,,,3
King at Dundurn,43.26240933566922,-79.88798082,,,,,,,0
Main at Dundurn,43.25966301112219,-79.88920927,,,,,,,1
Dundurn St S,43.25481276,-79.89090677,,,,,,,10
McMaster Mary Keyes,43.26246012002058,-79.92224671,,,,,,,11
McMaster Health Sciences,43.26053126154136,-79.91824821,,,,,,,30
McMaster Arthur Bourns,43.259969,-79.92235867,,,,,,,14
McMaster Emerson,43.258038792898375,-79.91978779,,,,,,,19
Longwood at Edgevale,43.26621122,-79.89930945,,,,,,,0
Longwood at King,43.26301746,-79.90094184,,,,,,,0
Chedoke Stairs,43.24608026,-79.9082378,,,,,,,3
McMaster Innovation Park,43.25656885270854,-79.90116924,,,,,,,15
Macklin at King,43.26216728,-79.8964982,,,,,,,5
Dundurn at Aberdeen,43.25145846,-79.89265591,,,,,,,18
Dundurn Stairs,43.24652141,-79.89477876,,,,,,,0
Cootes Drive Dundas,43.26547419149645,-79.94765997,,,,,,,0
Princess Point,43.27299129,-79.89452704,,,,,,,11
Pearl Street Bridge,43.25650634283747,-79.88345325,,,,,,,8
Rail Trail at Emerson,43.25467459,-79.92080282,,,,,,,11
Westdale Library,43.26271599,-79.90359664,,,,,,,6
